"LocationName","Address","City","State","Zip","Description","Website","Phone","lat","lng"
"Brookfield Farm - CSA Pickup","64 Kenton Rd. ","JAMAICA PLAIN","MA","02130","Pick-up Thursdays, starting in June. See website for details. ","www.brookfieldfarm.org","","42.324791","-71.09195"
"Jamaica Plain Farmers Market","677 Centre St.-Bank of America Parking Lot, 677 Centre St.","JAMAICA PLAIN","MA","02130","Dates & Time: Tuesday, 12:00 pm - 5:00 pm, June 17 to November 25; Saturday, Year-Round, Noon - 3:00 pm; WIC & Senior Coupons Accepted; SNAP-EBT Accepted with select vendors.","www.jamaicaplainfarmersmarket.com","","42.332639","-71.050762"
"Jamaica Plain Winter Farmers Market","677 Centre Street","JAMAICA PLAIN","MA","02130","Bank of America Parking Lot; Dates & Time: Saturday, year-round; Noon - 3:00 pm; SNAP-EBT Accepted with select vendors.","www.jamaicaplainfarmersmarket.wordpress.com/","","42.351974","-71.064247"
"Farmer Dave's - CSA Pick-Up","18 Marbury Terrace","Boston","MA","02130","CSA Pick-up Days: Tuesday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952","42.342331","-71.069623"
"Red Fire Farm - CSA Pick-Up","633 Centre St.","Boston","MA","02130","CSA Pick-up Location: First Baptist Church. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645","42.33929","-71.050216"
"The Fresh Truck Mobile Market","13 Elm Hill Hill Ave. ","DORCHESTER","MA","02121","Date and Time: Thursday, 9:30 am - 12:00 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.289689","-71.10387"
"The Fresh Truck Mobile Market","42 Shandon Rd. ","DORCHESTER","MA","02124","Dates and Time: Tuesday, 3:00 pm - 5:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.305463","-71.071395"
"The Fresh Truck Mobile Market","3 Quincy Street","ROXBURY","MA","02119","Dates and Time: Saturday, 1:30 pm - 3:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.295806","-71.06293"
"The Fresh Truck Mobile Market","198 Geneva Ave. ","Boston","MA","02121","Date and Time: Wednesday, 2:30 pm - 4:30 pm; Check website for updates.","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.310655","-71.092666"
"Mass Audubon Boston Nature Center Farmstand","500 Walk Hill Street","MATTAPAN","MA","02126","Date and Time; Thursday, 3:30 pm - 6:30 pm; June 6 to September 28. ","","(617) 983-8500","42.352475","-71.135057"
