Neighborhood,Population,gini_index
Allston,"31,810",23.1
Back Bay,"17,683",11.9
Bay Village,"1,300",
Beacon Hill,"9,327",9.4
Brighton,"55,869",18
Charlestown,"19,232",6.9
Chinatown,"6,071",25.1
Dorchester,"123,056",19.7
Downtown,"15,052",17.5
East Boston,"46,892",15.4
Fenway,"42,351",21.7
Hyde Park,"33,469",8.6
Jamaica Plain,"42,949",13.4
Leather District,"1,000",
Longwood,"5,553",2.1
Mattapan,"24,424",15.5
Mission Hill,"19,000",33.1
North End,"10,635",9.9
Roslindale,"29,378",9.3
Roxbury,"56,800",25.6
South Boston,"40,904",12.2
South Boston Waterfront,"8,289",2.7
South End,"34,582",19
West End,"9,306",10.5
West Roxbury,"31,381",6.7
