businessname,dbaname,address,city,state,zip,descript,dayphn_cleaned,latitude,longitude
100 Federal Market & Barista- 10th Floor,,100 Federal,Boston,MA,02110,Eating & Drinking,6174345000.0,42.354770000088834,-71.0561300019333
100 Federal Market & Barista- 11th Floor,,100 Federal,Boston,MA,02110,Eating & Drinking w/ Take Out,6174345000.0,42.354770000088834,-71.0561300019333
100 Federal Smoothie Bar- 11th Floor,,100 Federal,Boston,MA,02110,Eating & Drinking,6174345000.0,42.354770000088834,-71.0561300019333
110 Grill,,25 Jan Karski,Dorchester,MA,02125,Eating & Drinking,9786929450.0,42.325194557803286,-71.06117833204564
129 Lake Street Cafe,,127 LAKE,Brighton/,MA,02135,Eating & Drinking,5084463942.0,,
149 Eat Street,,300 CHELSEA,Charlestown/,MA,02129,Eating & Drinking,6177262520.0,,
163 Vietnamese Sandwich,,66 Harrison,Boston,MA,02111,Eating & Drinking,6175427903.0,42.351289999949145,-71.06105000119224
1928 Beacon Hill,,97 Mount Vernon,Boston,MA,02108,Eating & Drinking,8572335662.0,42.35805999981849,-71.06972000155524
1928 Rowes Wharf,,30 Rowes,Boston,MA,02110,Eating & Drinking,6179826010.0,42.35664237589748,-71.05030911199451
1st Floor Cafe @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Eating & Drinking w/ Take Out,,42.35055564807489,-71.06286082550342
200 Club - 3rd Fl.,,200 Clarendon,Boston,MA,02116,Eating & Drinking,,42.34921000046016,-71.07513000164919
20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,02136,Eating & Drinking w/ Take Out,6173645274.0,42.25681999986055,-71.12411000050824
211 Better Bagels,,211 Congress,Boston,MA,02110,Eating & Drinking w/ Take Out,5084239773.0,42.354680000025105,-71.05494000172826
21 ST. AMENDMENT,,150 Bowdoin,Boston,MA,02108,Eating & Drinking,6172277100.0,42.35833625776443,-71.06258112499432
224 BOSTON,,224 Boston,Dorchester,MA,02125,Eating & Drinking,6172651217.0,42.32227215594667,-71.06084832964727
311,,605 Tremont,Roxbury,MA,02118,Eating & Drinking,,42.34314000064306,-71.07364000070825
320 Cafe,,314 Spring,West Roxbury,MA,02132,Eating & Drinking,3057851745.0,42.27171271312165,-71.17211042683964
3rd Floor @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Eating & Drinking w/ Take Out,,42.35055564807489,-71.06286082550342
410- North End Butcher,,100 Legends,Boston,MA,02114,Eating & Drinking w/ Take Out,6176241610.0,,
417-Sal's Pizza,,100 Legends,Boston,MA,02114,Eating & Drinking w/ Take Out,6176241610.0,,
50/50 Lounge,,1 Dalton,Boston,MA,02115,Eating & Drinking,6175301741.0,42.34577356277369,-71.08404592672916
521  Function Kitchen,,4 Jersey,Boston,MA,02215,Eating & Drinking,6179825146.0,42.34673007807398,-71.0986629781914
5W Bar,,100 Legends,Boston,MA,02114,Eating & Drinking w/ Take Out,6176241610.0,42.36613621938733,-71.06200123790606
728 Causeway Cones,,100 Legends,Boston,MA,02114,Eating & Drinking w/ Take Out,6176241610.0,42.36613621938733,-71.06200123790606
753 South,,749 South,Roslindale,MA,02131,Eating & Drinking,6176204626.0,42.28715999960239,-71.12912000130427
75 CHESTNUT,,75 Chestnut,Boston,MA,02108,Eating & Drinking,6172272175.0,42.3568980001237,-71.07097100104212
75 On Liberty Wharf,,220 Northern,Boston,MA,02210,Eating & Drinking,6178547631.0,42.34910346272386,-71.03888919782614
89 Broad Street/Fin Point,,89 Broad,Boston,MA,02110,Eating & Drinking,6173481234.0,42.35743999985702,-71.05316000139499
89 Charles,,89 Charles,Boston,MA,02114,Eating & Drinking,5705104050.0,42.35858999972489,-71.07049000124772
99 RESTAURANT AND PUB,,29 Austin,Charlestown,MA,02129,Eating & Drinking,6152568500.0,42.37483494941711,-71.06700849971799
9 Thai Express,,433 Cambridge,Allston,MA,02134,Eating & Drinking w/ Take Out,6175950409.0,42.35512300049573,-71.13406200067374
AAA Restaurant ,,3141 Washington,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,8573408008.0,42.3141560000089,-71.1002150012691
A & B Burgers,,97 Beverly,Boston,MA,02114,Eating & Drinking,6175964339.0,42.3655510630171,-71.05936272833364
A + B Burgers,,401 Park,Boston,MA,02215,Eating & Drinking w/ Take Out,6175964339.0,42.344449188410294,-71.10287028370084
ABE & LOUIE'S,,793 Boylston,Boston,MA,02116,Eating & Drinking,6175364200.0,42.34922199605716,-71.0815801390581
ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,,306 Congress,Boston,MA,02210,Eating & Drinking,6177371773.0,,
Abuelas Table,,416 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6179824692.0,42.32074708369008,-71.1103083716029
Acapella By X,,1503 Dorchester,Dorchester,MA,02122,Eating & Drinking,6172864620.0,42.29929117778281,-71.06064894194996
Acapulco Mexican Restaurant,,466 CENTRE,JAMAICA PLAIN,MA,02130,Eating & Drinking,6175244328.0,,
Aceituna,,100 Federal,Boston,MA,02110,Eating & Drinking,,42.354770000084144,-71.05613000071953
Aceituna Grill,,99 Seaport,Boston,MA,02210,Eating & Drinking,6172520707.0,42.35117453241631,-71.04541115925554
Achilitos Taqueria,,38 Hyde Park,Jamaica Plain,MA,02130,Eating & Drinking,6179875465.0,42.29886730905778,-71.1139925844729
AC Hotel by Marriot,,225 Albany,Roxbury,MA,02118,Eating & Drinking,7819533682.0,42.34509706918971,-71.06195643251097
AC Hotel by Marriott,,395 Chestnut Hill,Brighton,MA,02135,Eating & Drinking,6038976100.0,42.334664717661525,-71.15076940808886
Adams B & B,,12 Edgerly,Boston,MA,02115,Eating & Drinking,6175364181.0,42.346059999952594,-71.08786000029565
ADK Sandwich Shop,,421 Bowdoin,Dorchester,MA,02122,Eating & Drinking w/ Take Out,,42.31045000002961,-71.06204000096207
AFC Sushi @ Shaws #3696,AFC Sushi @ Shaws #3696,50 Causeway,Boston,MA,02114,Eating & Drinking w/ Take Out,8546172415.0,42.3653920556944,-71.06217783746371
AFC SUSHI @SIMMONS COLLEGE,,300 Fenway,Boston,MA,02115,Eating & Drinking,6173649375.0,42.33930999984839,-71.09996000108146
AFC Sushi @ Walgreens #15390,,10 School,Boston,MA,02108,Eating & Drinking w/ Take Out,3106043200.0,42.357327629454545,-71.05896829287836
AFC Zenshi @ Shaws #1208,,246 Border,East Boston,MA,02128,Eating & Drinking w/ Take Out,6172624688.0,42.37667473381117,-71.04025589699377
AFC Zenshi @Star Market #3577,,75 Spring,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,6173270564.0,42.27871000013407,-71.16330000216672
Agavero Guac and Margs,,11 Broadway,South Boston,MA,02127,Eating & Drinking,6177524044.0,42.3424063937799,-71.05672043999976
Agganis Arena-FS,,925 Commonwealth,Boston,MA,02215,Eating & Drinking,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 1,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 2,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 3,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
